,DE_MUNICIP_org,DE_MUNICIP,PROVINCE,LONGITUDE,LATITUDE
0,A CORUÃ‘A,A CORUÑA,A Coruña,-8.395825599,43.37149478
1,ABIA DE LAS TORRES,ABIA DE LAS TORRES,Palencia,-4.421901599,42.42022006
2,ABRERA,ABRERA,Barcelona,1.901568685,41.5163976
3,ACEBEDO,ACEBEDO,León,-5.1158706,43.04073212
4,ACEUCHAL,ACEUCHAL,Badajoz,-6.487251425,38.64775527
5,ADEJE,ADEJE,Santa Cruz de Tenerife,-16.72419872,28.12265764
6,ADEJE CASCO,ADEJE,Santa Cruz de Tenerife,-16.72419872,28.12265764
7,ADEMUZ,ADEMUZ,València/Valencia,-1.28614068,40.06077005
8,AGRAMUNT,AGRAMUNT,Lleida,1.09885304,41.78702144
9,AGUADULCE,AGUADULCE,Sevilla,-4.991368556,37.2526978
10,AGUILON,AGUILÓN,Zaragoza,-1.045920441,41.29477481
11,AGUIMES,AGÜIMES,Las Palmas,-15.44577191,27.90383204
12,AGÃœIMES,AGÜIMES,Las Palmas,-15.44577191,27.90383204
13,AITONA,AITONA,Lleida,0.458504342,41.49439181
14,AJO,BAREYO,Cantabria,-3.612027778,43.47911111
15,ALAMEDA DE LA SAGRA,ALAMEDA DE LA SAGRA,Toledo,-3.797266622,40.01345502
16,ALARO,ALARÓ,Illes Balears,2.789117363,39.70590024
17,ALBACETE,ALBACETE,Albacete,-1.855677516,38.99613428
18,ALBENDIEGO,ALBENDIEGO,Guadalajara,-3.05185696,41.22686302
19,ALBOCASSER,ALBOCÀSSER,Castelló/Castellón,0.024311045,40.35762174
20,ALBOLOTE,ALBOLOTE,Granada,-3.657285568,37.23058226
21,ALBURQUERQUE,ALBURQUERQUE,Badajoz,-6.999547591,39.21860403
22,ALCALA DE HENARES,ALCALÁ DE HENARES,Madrid,-3.364867022,40.48179286
23,ALCALA DE XIVERT,ALCALÀ DE XIVERT,Castelló/Castellón,0.224864721,40.30366631
24,ALCALA LA REAL,ALCALÁ LA REAL,Jaén,-3.925072294,37.46347506
25,ALCANAR,ALCANAR,Tarragona,0.48192214,40.54286081
26,ALCAUDETE,ALCAUDETE,Jaén,-4.086712238,37.59097147
27,ALCAZAR DE SAN JUAN,ALCÁZAR DE SAN JUAN,Ciudad Real,-3.210532523,39.38906798
28,ALCAÃ‘IZ,ALCAÑIZ,Teruel,-0.132663702,41.05032329
29,ALCOBENDAS,ALCOBENDAS,Madrid,-3.64187111,40.54745906
30,ALCORCON,ALCORCÓN,Madrid,-3.828794481,40.34949949
31,ALCUBIERRE,ALCUBIERRE,Huesca,-0.452443539,41.80792407
32,ALCUDIA,ALCÚDIA,Illes Balears,3.121145924,39.85294857
33,ALDEASECA DE ALBA,ALDEASECA DE ALBA,Salamanca,-5.447165305,40.81892144
34,ALDEATEJADA,ALDEATEJADA,Salamanca,-5.692548,40.921197
35,ALFORJA,ALFORJA,Tarragona,0.975389139,41.21054753
36,ALFOZ DE BRICIA,ALFOZ DE BRICIA,Burgos,-3.84781048,42.90751582
37,ALFOZ DE SANTA GADEA,ALFOZ DE SANTA GADEA,Burgos,-3.952757764,42.95530737
38,ALGARROBO,ALGARROBO,Málaga,-4.039126901,36.77246187
39,ALGECIRAS,ALGECIRAS,Cádiz,-5.447642214,36.13198257
40,ALHAURIN DE LA TORRE,ALHAURÍN DE LA TORRE,Málaga,-4.565558575,36.66166579
41,ALICANTE/ALACANT,ALACANT/ALICANTE,Alacant/Alicante,-0.481365702,38.34530726
42,ALJARAQUE,ALJARAQUE,Huelva,-7.02154934,37.27102543
43,ALLARIZ,ALLARIZ,Ourense,-7.801553271,42.19016918
44,ALLER,ALLER,Asturias,-5.62242,43.161048
45,ALMANSA,ALMANSA,Albacete,-1.093666988,38.87007032
46,ALMAZORA,ALMASSORA,Castelló/Castellón,-0.063314937,39.94526703
47,ALMENARA,ALMENARA,Castelló/Castellón,-0.223280605,39.75150426
48,ALMENDRALEJO,ALMENDRALEJO,Badajoz,-6.406840492,38.68473972
49,ALMERIA,ALMERÍA,Almería,-2.467672485,36.84011268
50,ALMONACID DE LA SIERRA,ALMONACID DE LA SIERRA,Zaragoza,-1.323266986,41.39791114
51,ALQUERIAS DEL NIÃ‘O PERDIDO,LES ALQUERIES/ALQUERÍAS DEL NIÑO PERDIDO,Castelló/Castellón,-0.11481766,39.89635657
52,AMER,AMER,Girona,2.603318354,42.00909916
53,ANDORRA,ANDORRA,Teruel,-0.444052179,40.97497468
54,ANDRATX,ANDRATX,Illes Balears,2.424553868,39.57630897
55,ANOETA,ANOETA,Gipuzkoa,-2.071436337,43.16142514
56,ANTEQUERA,ANTEQUERA,Málaga,-4.562458774,37.01944263
57,ANTIGUA,ANTIGUA,Las Palmas,-14.01394909,28.42344159
58,ARAHAL,ARAHAL,Sevilla,-5.545295634,37.26248673
59,ARANJUEZ,ARANJUEZ,Madrid,-3.603524966,40.03219208
60,ARENILLAS DE RIOPISUERGA,ARENILLAS DE RIOPISUERGA,Burgos,-4.234080438,42.35764346
61,ARENYS DE MAR,ARENYS DE MAR,Barcelona,2.551705952,41.57949398
62,ARENYS DE MUNT,ARENYS DE MUNT,Barcelona,2.539479222,41.61139868
63,ARGAMASILLA DE ALBA,ARGAMASILLA DE ALBA,Ciudad Real,-3.090096647,39.12861498
64,ARGANDA,ARGANZA,León,-6.687777904,42.63921212
65,ARGANDA DEL REY,ARGANDA DEL REY,Madrid,-3.437457474,40.30079363
66,ARGENTONA,ARGENTONA,Barcelona,2.400302398,41.55540838
67,ARICO,ARICO,Santa Cruz de Tenerife,-16.50093348,28.16578793
68,ARIJA,ARIJA,Burgos,-3.960109694,42.98628101
69,ARMILLA,ARMILLA,Granada,-3.627817145,37.14282172
70,ARNUERO,ARNUERO,Cantabria,-3.561611111,43.47044444
71,ARONA,ARONA,Santa Cruz de Tenerife,-16.68068896,28.09999109
72,ARRECIFE,ARRECIFE,Las Palmas,-13.54666111,28.95942694
73,ARREDONDO,ARREDONDO,Cantabria,-3.6015,43.27455556
74,ARRONIZ,ARRÓNIZ,Navarra,-2.091116429,42.58900059
75,ARTA,ARTÀ,Illes Balears,3.351303008,39.69515775
76,ARTEIXO,ARTEIXO,A Coruña,-8.505070236,43.30474474
77,ARUCAS,ARUCAS,Las Palmas,-15.52538007,28.11861034
78,ASTORGA,ASTORGA,León,-6.052963815,42.45419587
79,AVILA,ÁVILA,Ávila,-4.700065193,40.65680955
80,AYORA,AYORA,València/Valencia,-1.057467064,39.06026778
81,AÃ‘OVER DE TAJO,AÑOVER DE TAJO,Toledo,-3.76609975,39.98900362
82,BADAJOZ,BADAJOZ,Badajoz,-6.969698521,38.87890178
83,BADALONA,BADALONA,Barcelona,2.247629947,41.45016665
84,BADIA DEL VALLES,BADIA DEL VALLÈS,Barcelona,2.113718172,41.50892367
