COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD
01001000000;1010014;01010;01;Araba/Álava;Alegría-Dulantzi;2961;1994,5872;35069;01001000101;Alegría-Dulantzi;2842;0113-3;-2,512507724;42,84045247;Detección automática;568;MDT
01002000000;1010029;01020;01;Araba/Álava;Amurrio;10346;9617,86;65701;01002000201;Amurrio;9256;0086-4;-3,001015194;43,05265767;Detección automática;217;MDT
01003000000;1010035;01030;01;Araba/Álava;Aramaio;1353;7308,96;42097;01003000601;Ibarra;731;0087-4;-2,564829379;43,05257873;Detección automática;325;MDT
01004000000;1010040;01040;01;Araba/Álava;Artziniega;1868;2728,73;22886;01004000101;Artziniega;1732;0086-1;-3,13052099;43,1217919;Detección automática;199;MDT
01006000000;1010066;01060;01;Araba/Álava;Armiñón;233;1297,27;24707;01006000101;Armiñón;106;0137-4;-2,872270813;42,72340924;Detección automática;466;MDT
01008000000;1010088;01080;01;Araba/Álava;Arratzua-Ubarrundia;1058;5753,18;67180;01008000501;Durana;394;0112-4;-2,640208161;42,88990689;Detección automática;514;MDT
01009000000;1010091;01090;01;Araba/Álava;Asparrena;1611;6510,76;53754;01009000401;Araia;1210;0113-4;-2,317425972;42,88962423;Detección automática;603;MDT
01010000000;1010105;01100;01;Araba/Álava;Ayala/Aiara;2917;14098,25;64488;01010002001;Arespalditza/Respaldiza;425;0086-3;-3,042683621;43,07792083;Detección automática;311;MDT
01011000000;1010112;01110;01;Araba/Álava;Baños de Ebro/Mañueta;292;950,39;18666;01011000101;Baños de Ebro/Mañueta;292;0170-4;-2,679560658;42,53023483;Detección automática;428;MDT
01013000000;1010133;01130;01;Araba/Álava;Barrundia;882;9729,68;57551;01013001401;Ozaeta;201;0113-3;-2,496599499;42,91759943;Detección automática;562;MDT
01014000000;1010148;01140;01;Araba/Álava;Berantevilla;475;3574,75;38696;01014000101;Berantevilla;324;0137-4;-2,859369462;42,68269243;Detección automática;470;MDT
01016000000;1010164;01160;01;Araba/Álava;Bernedo;541;13048,2;85964;01016000301;Bernedo;174;0171-1;-2,498883519;42,62644187;Detección automática;714;MDT
01017000000;1010170;01170;01;Araba/Álava;Campezo/Kanpezu;1071;8536,0875;53461;01017000501;Santa Cruz de Campezo/Santikurutze Kanpezu;794;0139-4;-2,351267973;42,6700208;Detección automática;567;MDT
01018000000;1010186;01180;01;Araba/Álava;Zigoitia;1841;10201,45;48769;01018000901;Gopegi;281;0112-1;-2,729743759;42,95770957;Detección automática;582;MDT
01019000000;1010199;01190;01;Araba/Álava;Kripan;175;1256,89;16071;01019000101;Kripan;175;0171-1;-2,515660773;42,59166499;Detección automática;694;MDT
01020000000;1010203;01200;01;Araba/Álava;Kuartango;402;8408,7;44209;01020002001;Zuhatzu Kuartango;162;0111-4;-2,887492118;42,86990022;Detección automática;553;MDT
01021000000;1010210;01210;01;Araba/Álava;Elburgo/Burgelu;641;3210,04;58545;01021000401;Elburgo/Burgelu;174;0112-4;-2,545933;42,850282;Investigación;540;Investigación
